pname,purl
effolkronium-random,pkg:generic/effolkronium-random@1.5.0
libsbml,pkg:generic/libsbml@5.20.4
skcrypter,pkg:generic/skcrypter
cpp-jwt,pkg:generic/cpp-jwt
usearch,pkg:generic/usearch@2.17.2
libpcap,pkg:generic/libpcap
libao,pkg:generic/libao@1.2.2
rmlui,pkg:generic/rmlui@6.0
cpp-sort,pkg:generic/cpp-sort@1.16.0
qtopcua,pkg:generic/qtopcua@6.8.2
crc32c,pkg:generic/crc32c@1.1.2
stftpitchshift,pkg:generic/stftpitchshift@1.4.1
gperf,pkg:generic/gperf@3.1
flagpp,pkg:generic/flagpp@2.1
bext-sml2,pkg:generic/bext-sml2@2.0.0
thorvg,pkg:generic/thorvg@0.15.11
libstemmer,pkg:generic/libstemmer@2021.2.2.0
stxxl,pkg:generic/stxxl
suitesparse-mongoose,pkg:generic/suitesparse-mongoose
qt5-macextras,pkg:generic/qt5-macextras@5.15.16
scylla-wrapper,pkg:generic/scylla-wrapper@2018-08-26-16e6f435
msgpack11,pkg:generic/msgpack11@0.0.10
qt5-location,pkg:generic/qt5-location@5.15.16
pkgconf,pkg:generic/pkgconf@2.3.0
libaio,pkg:generic/libaio@0.3.113
cialloo-rcon,pkg:generic/cialloo-rcon@1.0.0
cppp-reiconv,pkg:generic/cppp-reiconv@2.1.0
intel-ipsec,pkg:generic/intel-ipsec@1.1
vcpkg-get-python,pkg:generic/vcpkg-get-python
mvfst,pkg:generic/mvfst
faiss,pkg:generic/faiss@1.8.0
approval-tests-cpp,pkg:generic/approval-tests-cpp@10.13.0
deniskovalchuk-libftp,pkg:generic/deniskovalchuk-libftp@1.4.1
g2o,pkg:generic/g2o
libspatialite,pkg:generic/libspatialite@5.1.0
dxut,pkg:generic/dxut@11.32
qtmqtt,pkg:generic/qtmqtt@6.8.2
libfork,pkg:generic/libfork@3.8.0
suitesparse-spex,pkg:generic/suitesparse-spex
aws-checksums,pkg:generic/aws-checksums@0.2.2
dx,pkg:generic/dx@1.0.1
tsl-sparse-map,pkg:generic/tsl-sparse-map@0.6.2
annoy,pkg:generic/annoy@1.17.3
lz4,pkg:generic/lz4@1.10.0
libxft,pkg:generic/libxft@2.3.4
matio,pkg:generic/matio@1.5.28
clapack,pkg:generic/clapack@3.2.1
ctemplate,pkg:generic/ctemplate
arcus,pkg:generic/arcus
qtwayland,pkg:generic/qtwayland@6.8.2
magic-enum,pkg:generic/magic-enum@0.9.7
libusb,pkg:generic/libusb@1.0.27
spdlog,pkg:generic/spdlog
kddockwidgets,pkg:generic/kddockwidgets@2.1.0
sdl2-gfx,pkg:generic/sdl2-gfx@1.0.4
ctbench,pkg:generic/ctbench@1.3.4
aws-sdk-cpp,pkg:generic/aws-sdk-cpp@1.11.474
libtorrent,pkg:generic/libtorrent@2.0.11
lager,pkg:generic/lager
osg,pkg:generic/osg@3.6.5
apsi,pkg:generic/apsi
blosc,pkg:generic/blosc@1.21.6
lodepng,pkg:generic/lodepng
libdvdnav,pkg:generic/libdvdnav
c-dbg-macro,pkg:generic/c-dbg-macro
suitesparse-amd,pkg:generic/suitesparse-amd
veigar,pkg:generic/veigar@1.4
libmt32emu,pkg:generic/libmt32emu@2.7.1
rmqcpp,pkg:generic/rmqcpp@1.0.0
clamav,pkg:generic/clamav
gflags,pkg:generic/gflags@2.2.2
nanorange,pkg:generic/nanorange
lastools,pkg:generic/lastools@2.0.3
nodesoup,pkg:generic/nodesoup
brotli,pkg:generic/brotli@1.1.0
rply,pkg:generic/rply@1.1.4
vtk,pkg:generic/vtk
cthash,pkg:generic/cthash
cppxaml,pkg:generic/cppxaml@0.0.16
taskflow,pkg:generic/taskflow@3.9.0
cpp-ipc,pkg:generic/cpp-ipc@1.3.0
quill,pkg:generic/quill@8.2.0
cblas,pkg:generic/cblas
quickfix,pkg:generic/quickfix@1.15.1
yasm,pkg:generic/yasm@1.3.0
libdmx,pkg:generic/libdmx@1.1.5
hashids,pkg:generic/hashids@1.2.2
libxmlmm,pkg:generic/libxmlmm@0.6.0
ampl-mp,pkg:generic/ampl-mp
mp3lame,pkg:generic/mp3lame@3.100
qt5-modularscripts,pkg:generic/qt5-modularscripts
fenster,pkg:generic/fenster
ixwebsocket,pkg:generic/ixwebsocket
cpp-base64,pkg:generic/cpp-base64
xcb-render-util,pkg:generic/xcb-render-util@0.3.10
boost-optional,pkg:generic/boost-optional@1.87.0
kvasir-mpl,pkg:generic/kvasir-mpl
flashlight-cuda,pkg:generic/flashlight-cuda@0.3
plutosvg,pkg:generic/plutosvg@0.0.6
boost-parameter,pkg:generic/boost-parameter@1.87.0
baresip-libre,pkg:generic/baresip-libre@3.20.0
nccl,pkg:generic/nccl@2.4.6
sjpeg,pkg:generic/sjpeg
kf5kcmutils,pkg:generic/kf5kcmutils@5.98.0
quadtree,pkg:generic/quadtree
torch-th,pkg:generic/torch-th
libopensp,pkg:generic/libopensp@1.5.2
azure-c-shared-utility,pkg:generic/azure-c-shared-utility
jbigkit,pkg:generic/jbigkit@2.1
qtnetworkauth,pkg:generic/qtnetworkauth@6.8.2
aws-lambda-cpp,pkg:generic/aws-lambda-cpp@0.2.10
boost-align,pkg:generic/boost-align@1.87.0
googleapis,pkg:generic/googleapis
steam-audio,pkg:generic/steam-audio@4.5.3
pcapplusplus,pkg:generic/pcapplusplus@24.9
pfring,pkg:generic/pfring@8.8.0
netcdf-cxx4,pkg:generic/netcdf-cxx4@4.3.1
fftwpp,pkg:generic/fftwpp
portable-snippets,pkg:generic/portable-snippets
mdnsresponder,pkg:generic/mdnsresponder@1557.140.5.0.1
libgpg-error,pkg:generic/libgpg-error@1.51
oatpp-mongo,pkg:generic/oatpp-mongo@1.3.0
boost-core,pkg:generic/boost-core@1.87.0
bshoshany-thread-pool,pkg:generic/bshoshany-thread-pool@5.0.0
babl,pkg:generic/babl@0.1.110
qtmultimedia,pkg:generic/qtmultimedia@6.8.2
lwlog,pkg:generic/lwlog@1.3.0
flash-runtime-extensions,pkg:generic/flash-runtime-extensions@2.4
plustache,pkg:generic/plustache@0.4.0
iir1,pkg:generic/iir1@1.9.5
openscap,pkg:generic/openscap@1.4.0
strong-type,pkg:generic/strong-type@15
liblzma,pkg:generic/liblzma@5.6.3
libidn2,pkg:generic/libidn2@2.3.7
qt5-svg,pkg:generic/qt5-svg@5.15.16
protozero,pkg:generic/protozero
rsasynccpp,pkg:generic/rsasynccpp@0.0.7
symengine,pkg:generic/symengine@0.11.2
tiny-bignum-c,pkg:generic/tiny-bignum-c
zstr,pkg:generic/zstr@1.0.7
charls,pkg:generic/charls@2.4.2
dbg-macro,pkg:generic/dbg-macro@0.5.1
boost-container,pkg:generic/boost-container@1.87.0
quantlib,pkg:generic/quantlib@1.37
aurora-au,pkg:generic/aurora-au
sdl1-net,pkg:generic/sdl1-net@1.2.8
im3d,pkg:generic/im3d
xlnt,pkg:generic/xlnt@1.5.0
boost-property-map,pkg:generic/boost-property-map@1.87.0
genann,pkg:generic/genann
nonius,pkg:generic/nonius
lilv,pkg:generic/lilv@0.24.26
qtdatavis3d,pkg:generic/qtdatavis3d@6.8.2
gameinput,pkg:generic/gameinput@0.2303.22621.3038
tinyfiledialogs,pkg:generic/tinyfiledialogs@3.19.1
liblrc,pkg:generic/liblrc@1.0.0
libusbmuxd,pkg:generic/libusbmuxd
vcpkg-gfortran,pkg:generic/vcpkg-gfortran@3
duckx,pkg:generic/duckx@1.2.2
libobfuscate,pkg:generic/libobfuscate
plf-queue,pkg:generic/plf-queue@2.2
libheif,pkg:generic/libheif@1.19.5
septag-dmon,pkg:generic/septag-dmon
gainput,pkg:generic/gainput@1.0.0
efsw,pkg:generic/efsw@1.4.1
libconfuse,pkg:generic/libconfuse@3.3
soapysdr,pkg:generic/soapysdr@0.8.1
awlib,pkg:generic/awlib
msquic,pkg:generic/msquic@2.4.8
xmlsec,pkg:generic/xmlsec@1.3.7
srell,pkg:generic/srell
lmdb,pkg:generic/lmdb@0.9.33
x-plane,pkg:generic/x-plane@4.1.1
gz-fuel-tools8,pkg:generic/gz-fuel-tools8@8.1.0
libmicrodns,pkg:generic/libmicrodns@0.2.0
bitserializer,pkg:generic/bitserializer@0.75
fmem,pkg:generic/fmem
ffnvcodec,pkg:generic/ffnvcodec@12.2.72.0
alpaka,pkg:generic/alpaka@1.2.0
glslang,pkg:generic/glslang@15.1.0
openmama,pkg:generic/openmama
fontconfig,pkg:generic/fontconfig@2.15.0
avro-cpp,pkg:generic/avro-cpp@1.12.0
ocilib,pkg:generic/ocilib@4.7.6
tinyobjloader,pkg:generic/tinyobjloader
liboqs,pkg:generic/liboqs@0.12.0
bark,pkg:generic/bark
marisa-trie,pkg:generic/marisa-trie@0.2.6+20200926
libconfig,pkg:generic/libconfig@1.7.3
mfx-dispatch,pkg:generic/mfx-dispatch@1.35.1
iceoryx,pkg:generic/iceoryx@2.0.6
xtensor-io,pkg:generic/xtensor-io@0.13.0
boost-assign,pkg:generic/boost-assign@1.87.0
kf5attica,pkg:generic/kf5attica@5.98.0
fastcgi,pkg:generic/fastcgi
nanopb,pkg:generic/nanopb
opendnp3,pkg:generic/opendnp3@3.1.1
h5py-lzf,pkg:generic/h5py-lzf@3.12.1
wepoll,pkg:generic/wepoll@1.5.8
boost-algorithm,pkg:generic/boost-algorithm@1.87.0
ltla-knncolle,pkg:generic/ltla-knncolle
cpp-redis,pkg:generic/cpp-redis@4.3.1
vit-vit-ctpl,pkg:generic/vit-vit-ctpl@0.0.2
atk,pkg:generic/atk@2.38.0
xapian,pkg:generic/xapian@1.4.22
paraview,pkg:generic/paraview@5.12.1
usbmuxd,pkg:generic/usbmuxd
gz-gui7,pkg:generic/gz-gui7@7.2.1
pulseaudio,pkg:generic/pulseaudio@17.0
openturns,pkg:generic/openturns@1.24
graphviz,pkg:generic/graphviz
libwebsockets,pkg:generic/libwebsockets
globjects,pkg:generic/globjects@1.1.0
xorg-macros,pkg:generic/xorg-macros@1.19.3
azure-core-cpp,pkg:generic/azure-core-cpp
mchehab-zbar,pkg:generic/mchehab-zbar@0.23.93
tgui,pkg:generic/tgui@1.8.0
vulkan-extensionlayer,pkg:generic/vulkan-extensionlayer@1.4.304.1
gapp,pkg:generic/gapp@0.2.0
libyaml,pkg:generic/libyaml@0.2.5
openjpeg,pkg:generic/openjpeg@2.5.3
xcb-util-wm,pkg:generic/xcb-util-wm@0.4.2
libsigcpp-3,pkg:generic/libsigcpp-3@3.0.3
portmidi,pkg:generic/portmidi@2.0.4
vlfeat,pkg:generic/vlfeat
optional-lite,pkg:generic/optional-lite@3.6.0
libmorton,pkg:generic/libmorton@0.2.12
azure-macro-utils-c,pkg:generic/azure-macro-utils-c
ltla-aarand,pkg:generic/ltla-aarand
libgd,pkg:generic/libgd
tl-optional,pkg:generic/tl-optional@1.1.0
nu-book-zxing-cpp,pkg:generic/nu-book-zxing-cpp@2.3.0
liburing,pkg:generic/liburing@2.8
tiny-aes-c,pkg:generic/tiny-aes-c
refl-cpp,pkg:generic/refl-cpp@0.12.4
qt3d,pkg:generic/qt3d@6.8.2
geographiclib,pkg:generic/geographiclib@2.5
boost-xpressive,pkg:generic/boost-xpressive@1.87.0
azure-storage-common-cpp,pkg:generic/azure-storage-common-cpp
libphonenumber,pkg:generic/libphonenumber@9.0.0
glpk,pkg:generic/glpk@5.0
secp256k1,pkg:generic/secp256k1
boost-format,pkg:generic/boost-format@1.87.0
casadi,pkg:generic/casadi@3.6.7
cudnn,pkg:generic/cudnn@7.6.5
ezc3d,pkg:generic/ezc3d@1.5.11
getopt-win32,pkg:generic/getopt-win32@1.1.0.20220925
vcpkg-cmake-config,pkg:generic/vcpkg-cmake-config
constexpr,pkg:generic/constexpr@1.0
fp16,pkg:generic/fp16
blaze,pkg:generic/blaze@3.8.2
sratom,pkg:generic/sratom@0.6.18
oatpp-ssdp,pkg:generic/oatpp-ssdp@1.3.0
faudio,pkg:generic/faudio
casclib,pkg:generic/casclib
imgui-sfml,pkg:generic/imgui-sfml@3.0
nt-wrapper,pkg:generic/nt-wrapper
restinio,pkg:generic/restinio@0.7.4
azure-storage-files-shares-cpp,pkg:generic/azure-storage-files-shares-cpp
libodb-pgsql,pkg:generic/libodb-pgsql@2.4.0
google-cloud-cpp-spanner,pkg:generic/google-cloud-cpp-spanner
boost-any,pkg:generic/boost-any@1.87.0
tmxparser,pkg:generic/tmxparser
murmur3,pkg:generic/murmur3
opencc,pkg:generic/opencc@1.1.9
directxtk,pkg:generic/directxtk
robotraconteur-companion,pkg:generic/robotraconteur-companion
gz-cmake3,pkg:generic/gz-cmake3@3.4.1
libhydrogen,pkg:generic/libhydrogen
kf5auth,pkg:generic/kf5auth@5.98.0
libremidi,pkg:generic/libremidi@4.5.0
libtracepoint-decode,pkg:generic/libtracepoint-decode@1.4.0
sfgui,pkg:generic/sfgui@1.0.0
absent,pkg:generic/absent@0.3.1
libdvdread,pkg:generic/libdvdread
camport3,pkg:generic/camport3@1.6.2
fdlibm,pkg:generic/fdlibm@5.3
qt5-webview,pkg:generic/qt5-webview@5.15.16
threadpool,pkg:generic/threadpool@0.2.5
jsoncpp,pkg:generic/jsoncpp@1.9.6
azmq,pkg:generic/azmq
cmocka,pkg:generic/cmocka
chronoengine,pkg:generic/chronoengine@8.0.0
zlib-ng,pkg:generic/zlib-ng@2.2.3
libid3tag,pkg:generic/libid3tag@0.16.3
hjson-cpp,pkg:generic/hjson-cpp@2.4.1
hiredis,pkg:generic/hiredis@1.2.0
libmaxminddb,pkg:generic/libmaxminddb@1.12.2
nyan-lang,pkg:generic/nyan-lang@0.3.1
sparsehash,pkg:generic/sparsehash@2.0.4
boost-geometry,pkg:generic/boost-geometry@1.87.0
msgpack-c,pkg:generic/msgpack-c@6.1.0
netcdf-c,pkg:generic/netcdf-c@4.8.1
utfz,pkg:generic/utfz@1.2
openal-soft,pkg:generic/openal-soft@1.24.2
z3,pkg:generic/z3@4.14.0
avro-c,pkg:generic/avro-c@1.12.0
boost-rational,pkg:generic/boost-rational@1.87.0
liblas,pkg:generic/liblas@1.8.1
winpcap,pkg:generic/winpcap@4.1.3
seasocks,pkg:generic/seasocks@1.4.6
log4cxx,pkg:generic/log4cxx@1.3.1
matplotlib-cpp,pkg:generic/matplotlib-cpp
gamenetworkingsockets,pkg:generic/gamenetworkingsockets@1.4.1
boost-math,pkg:generic/boost-math@1.87.0
smf,pkg:generic/smf@0.2.0
flatbuffers,pkg:generic/flatbuffers@25.1.21
libressl,pkg:generic/libressl@4.0.0
gz-physics6,pkg:generic/gz-physics6@6.5.1
intrusive-shared-ptr,pkg:generic/intrusive-shared-ptr@1.6
podofo,pkg:generic/podofo@0.10.4
omplapp,pkg:generic/omplapp@1.6.0
scotch,pkg:generic/scotch@7.0.5
nanosvg,pkg:generic/nanosvg
oatpp-consul,pkg:generic/oatpp-consul@1.3.0
cppgraphqlgen,pkg:generic/cppgraphqlgen@4.5.7
qtinterfaceframework,pkg:generic/qtinterfaceframework@6.8.2
seqan,pkg:generic/seqan@2.4.0
webview2,pkg:generic/webview2@1.0.2277.86
wxchartdir,pkg:generic/wxchartdir@2.0.0
hdr-histogram,pkg:generic/hdr-histogram
alac,pkg:generic/alac@2017-11-03-c38887c5
libmodplug,pkg:generic/libmodplug@0.8.9.0
xcb-keysyms,pkg:generic/xcb-keysyms@0.4.1
physac,pkg:generic/physac@1.1
check,pkg:generic/check@0.15.2
gsasl,pkg:generic/gsasl@2.2.1
ztd-platform,pkg:generic/ztd-platform
opencv2,pkg:generic/opencv2@2.4.13.7
tiny-dnn,pkg:generic/tiny-dnn
metrohash,pkg:generic/metrohash@1.1.3
qtcoap,pkg:generic/qtcoap@6.8.2
libzen,pkg:generic/libzen@0.4.41
kf5crash,pkg:generic/kf5crash@5.98.0
libopusenc,pkg:generic/libopusenc@0.2.1
bitmagic,pkg:generic/bitmagic@7.13.4
async-simple,pkg:generic/async-simple@1.3
libcuckoo,pkg:generic/libcuckoo@0.3.1
rkcommon,pkg:generic/rkcommon@1.14.2
libcaer,pkg:generic/libcaer@3.3.15
jansson,pkg:generic/jansson@2.14
ctpg,pkg:generic/ctpg@1.3.7
ncnn,pkg:generic/ncnn@20241226
vcpkg-qmake,pkg:generic/vcpkg-qmake
vcpkg-tool-nodejs,pkg:generic/vcpkg-tool-nodejs
libhv,pkg:generic/libhv@1.3.3
boost-foreach,pkg:generic/boost-foreach@1.87.0
libcopp,pkg:generic/libcopp@2.2.0
nameof,pkg:generic/nameof@0.10.4
boost-mpi,pkg:generic/boost-mpi@1.87.0
boost-multi-index,pkg:generic/boost-multi-index@1.87.0
intelrdfpmathlib,pkg:generic/intelrdfpmathlib
rivers,pkg:generic/rivers
mgnlibs,pkg:generic/mgnlibs
kdstatemachineeditor,pkg:generic/kdstatemachineeditor@2.0.0
libdeflate,pkg:generic/libdeflate@1.23
shaderc,pkg:generic/shaderc@2023.8
msgpack,pkg:generic/msgpack@7.0.0
libodb-mysql,pkg:generic/libodb-mysql@2.4.0
bext-ut,pkg:generic/bext-ut@2.0.1
gts,pkg:generic/gts@0.7.6
libnick,pkg:generic/libnick@2025.3.3
sdl3,pkg:generic/sdl3@3.2.8
ucoro,pkg:generic/ucoro@1.0
bext-wintls,pkg:generic/bext-wintls@0.9.8
qthttpserver,pkg:generic/qthttpserver@6.8.2
jsonnet,pkg:generic/jsonnet@0.20.0
hwloc,pkg:generic/hwloc@2.11.2
boost-multi-array,pkg:generic/boost-multi-array@1.87.0
qt5-base,pkg:generic/qt5-base@5.15.16
libexif,pkg:generic/libexif@0.6.25
oatpp-websocket,pkg:generic/oatpp-websocket@1.3.0
mathc,pkg:generic/mathc
msinttypes,pkg:generic/msinttypes
nanobench,pkg:generic/nanobench@4.3.11
fameta-counter,pkg:generic/fameta-counter
rocksdb,pkg:generic/rocksdb@9.10.0
scnlib,pkg:generic/scnlib@4.0.1
hello-imgui,pkg:generic/hello-imgui@1.6.0
qtlottie,pkg:generic/qtlottie@6.8.2
libspatialindex,pkg:generic/libspatialindex@2.0.0
wren,pkg:generic/wren@0.4.0
lemon-parser-generator,pkg:generic/lemon-parser-generator@3.39.3
cjson,pkg:generic/cjson@1.7.18
plib,pkg:generic/plib@1.8.5
mimalloc,pkg:generic/mimalloc@2.1.7
libfontenc,pkg:generic/libfontenc@1.1.4
cuda,pkg:generic/cuda@10.1
mongo-cxx-driver,pkg:generic/mongo-cxx-driver@4.0.0
liborigin,pkg:generic/liborigin@3.0.3
libaes-siv,pkg:generic/libaes-siv
ezfoundation,pkg:generic/ezfoundation@21.10
infoware,pkg:generic/infoware
winpixevent,pkg:generic/winpixevent@1.0.240308001
blend2d,pkg:generic/blend2d
pybind11,pkg:generic/pybind11@2.13.6
catch,pkg:generic/catch
boost-fiber,pkg:generic/boost-fiber@1.87.0
libcred,pkg:generic/libcred@1.0.0
juce,pkg:generic/juce@8.0.4
azure-messaging-eventhubs-cpp,pkg:generic/azure-messaging-eventhubs-cpp
salome-med-fichier,pkg:generic/salome-med-fichier@4.1.1
libassuan,pkg:generic/libassuan@3.0.1
libusb-win32,pkg:generic/libusb-win32@1.2.6.0
bloomberg-quantum,pkg:generic/bloomberg-quantum
cppcoro,pkg:generic/cppcoro
palsigslot,pkg:generic/palsigslot@1.2.2
pthreads,pkg:generic/pthreads@3.0.0
rtmfp-cpp,pkg:generic/rtmfp-cpp@1.5.1
hypre,pkg:generic/hypre@2.32.0
simdjson,pkg:generic/simdjson@3.12.2
expected-lite,pkg:generic/expected-lite@0.8.0
libgxps,pkg:generic/libgxps@0.3.2
vkfft,pkg:generic/vkfft@1.2.31
glew,pkg:generic/glew@2.2.0
mpark-patterns,pkg:generic/mpark-patterns
span-lite,pkg:generic/span-lite@0.11.0
tracy,pkg:generic/tracy@0.11.1
libsnoretoast,pkg:generic/libsnoretoast@0.8.0
nanobind,pkg:generic/nanobind
kf5completion,pkg:generic/kf5completion@5.98.0
memorymodule,pkg:generic/memorymodule
workflow,pkg:generic/workflow@0.11.8
mdspan,pkg:generic/mdspan@0.6.0
frozen,pkg:generic/frozen@1.2.0
usd,pkg:generic/usd@25.2
libjxl,pkg:generic/libjxl
boost-lexical-cast,pkg:generic/boost-lexical-cast@1.87.0
greatest,pkg:generic/greatest@1.5.0
qtquick3d,pkg:generic/qtquick3d@6.8.2
qnnpack,pkg:generic/qnnpack
qwtw,pkg:generic/qwtw@3.1.0
directxtex,pkg:generic/directxtex
spglib,pkg:generic/spglib
vvenc,pkg:generic/vvenc@1.7.0
qtscxml,pkg:generic/qtscxml@6.8.2
cista,pkg:generic/cista@0.15
fastfeat,pkg:generic/fastfeat
asiosdk,pkg:generic/asiosdk@2.3.3
gtest,pkg:generic/gtest
ampl-asl,pkg:generic/ampl-asl
cdt,pkg:generic/cdt@1.4.1
cpu-features,pkg:generic/cpu-features@0.9.0
drlibs,pkg:generic/drlibs
boost-variant2,pkg:generic/boost-variant2@1.87.0
netgen,pkg:generic/netgen@6.2.2401
oatpp-openssl,pkg:generic/oatpp-openssl
suitesparse-ccolamd,pkg:generic/suitesparse-ccolamd
cubeb,pkg:generic/cubeb
aubio,pkg:generic/aubio
str-view,pkg:generic/str-view@0.5.4
boost-mysql,pkg:generic/boost-mysql@1.87.0
pangomm,pkg:generic/pangomm@2.56.1
boost-signals2,pkg:generic/boost-signals2@1.87.0
libfs,pkg:generic/libfs@1.0.9
mujoco,pkg:generic/mujoco@3.3.0
libxdamage,pkg:generic/libxdamage@1.1.5
fizz,pkg:generic/fizz
jinja2cpplight,pkg:generic/jinja2cpplight
ntf-core,pkg:generic/ntf-core@2.5.4
guilite,pkg:generic/guilite
spirit-po,pkg:generic/spirit-po@1.1.2
boost-asio,pkg:generic/boost-asio@1.87.0
frugally-deep,pkg:generic/frugally-deep
mpir,pkg:generic/mpir
chartdir,pkg:generic/chartdir@7.0.0
mmx,pkg:generic/mmx
eve,pkg:generic/eve@2023.2.15
reactiveplusplus,pkg:generic/reactiveplusplus@2.1.1
opensubdiv,pkg:generic/opensubdiv
bext-mp,pkg:generic/bext-mp
boost-compute,pkg:generic/boost-compute@1.87.0
libuvc,pkg:generic/libuvc@0.0.7
qt5-xmlpatterns,pkg:generic/qt5-xmlpatterns@5.15.16
onnx-optimizer,pkg:generic/onnx-optimizer
string-view-lite,pkg:generic/string-view-lite@1.8.0
hnswlib,pkg:generic/hnswlib@0.8.0
networkdirect-sdk,pkg:generic/networkdirect-sdk@2.0.1
opus,pkg:generic/opus@1.5.2
qtshadertools,pkg:generic/qtshadertools@6.8.2
anyrpc,pkg:generic/anyrpc
magnum,pkg:generic/magnum
dmlc,pkg:generic/dmlc
bond,pkg:generic/bond@13.0.1
try-catcher,pkg:generic/try-catcher@1.0.1
mongo-c-driver,pkg:generic/mongo-c-driver@1.30.1
ffmpeg,pkg:generic/ffmpeg@7.1.1
discreture,pkg:generic/discreture
cppad,pkg:generic/cppad@20240000.7
sese,pkg:generic/sese@2.3.0
mujs,pkg:generic/mujs@1.3.6
leaf,pkg:generic/leaf@0.2.2
netcpp,pkg:generic/netcpp@0.5.0
cfitsio,pkg:generic/cfitsio@3.49
nowide,pkg:generic/nowide@11.3.0
sf2cute,pkg:generic/sf2cute@0.2.0
urdfdom-headers,pkg:generic/urdfdom-headers@1.1.1
libedit,pkg:generic/libedit
easyloggingpp,pkg:generic/easyloggingpp@9.97.1
capstone,pkg:generic/capstone@5.0.3
tinyxml,pkg:generic/tinyxml@2.6.2
boost-polygon,pkg:generic/boost-polygon@1.87.0
outcome,pkg:generic/outcome@2.2.9
chaiscript,pkg:generic/chaiscript@6.1.0
woff2,pkg:generic/woff2@1.0.2
yaml-cpp,pkg:generic/yaml-cpp
micro-gl,pkg:generic/micro-gl
cpp-pinyin,pkg:generic/cpp-pinyin@1.0.2
fins,pkg:generic/fins
stduuid,pkg:generic/stduuid@1.2.3
coin-or-buildtools,pkg:generic/coin-or-buildtools
libssh,pkg:generic/libssh@0.10.6
libqcow,pkg:generic/libqcow@20221124
libdshowcapture,pkg:generic/libdshowcapture@0.6.0
fbgemm,pkg:generic/fbgemm@0.4.1
kf5config,pkg:generic/kf5config@5.98.0
plplot,pkg:generic/plplot
boost-crc,pkg:generic/boost-crc@1.87.0
geos,pkg:generic/geos@3.13.0
libdwarf,pkg:generic/libdwarf@0.11.1
vcpkg-cmake,pkg:generic/vcpkg-cmake
farmhash,pkg:generic/farmhash@1.1
pdal-c,pkg:generic/pdal-c@2.2.0
winlamb,pkg:generic/winlamb
pangolin,pkg:generic/pangolin@0.9.3
libxkbfile,pkg:generic/libxkbfile@1.1.0
arsenalgear,pkg:generic/arsenalgear@2.1.1
functionalplus,pkg:generic/functionalplus@0.2.25
strict-variant,pkg:generic/strict-variant@0.5
vulkan-utility-libraries,pkg:generic/vulkan-utility-libraries@1.4.304.1
boost-scope-exit,pkg:generic/boost-scope-exit@1.87.0
spdk-ipsec,pkg:generic/spdk-ipsec
magic-get,pkg:generic/magic-get
pdqsort,pkg:generic/pdqsort
imcce-openfa,pkg:generic/imcce-openfa@20231011.0.3
nano-signal-slot,pkg:generic/nano-signal-slot@2.0.1
libwandio,pkg:generic/libwandio@4.2.1
ztd-static-containers,pkg:generic/ztd-static-containers
raylib,pkg:generic/raylib@5.5
entt,pkg:generic/entt@3.14.0
miniz,pkg:generic/miniz@3.0.2
gherkin-c,pkg:generic/gherkin-c
volk,pkg:generic/volk@1.4.304.1
snappy,pkg:generic/snappy@1.2.1
kinectsdk2,pkg:generic/kinectsdk2@2.0
kf5wallet,pkg:generic/kf5wallet@5.98.0
lua,pkg:generic/lua@5.4.7
kissnet,pkg:generic/kissnet
sentencepiece,pkg:generic/sentencepiece@0.2.0
ebml,pkg:generic/ebml@1.4.5
libyuv,pkg:generic/libyuv@1896
clblast,pkg:generic/clblast@1.6.3
fxdiv,pkg:generic/fxdiv
magnum-extras,pkg:generic/magnum-extras
async-mqtt,pkg:generic/async-mqtt@10.1.0
tabulate,pkg:generic/tabulate@1.5
mfl,pkg:generic/mfl@0.0.1
kwsys,pkg:generic/kwsys
itay-grudev-singleapplication,pkg:generic/itay-grudev-singleapplication@3.5.2
glm,pkg:generic/glm@1.0.1
conjure-enum,pkg:generic/conjure-enum@1.1.0
boost-wave,pkg:generic/boost-wave@1.87.0
soqt,pkg:generic/soqt@1.6.0
libhsplasma,pkg:generic/libhsplasma
gmmlib,pkg:generic/gmmlib@22.5.2
boost-redis,pkg:generic/boost-redis@1.87.0
fadbad,pkg:generic/fadbad@2.1.0
zix,pkg:generic/zix@0.6.2
asyncplusplus,pkg:generic/asyncplusplus@1.2
si,pkg:generic/si@2.5.1
nayuki-qr-code-generator,pkg:generic/nayuki-qr-code-generator@1.8.0
cargs,pkg:generic/cargs@1.2.0
crow,pkg:generic/crow@1.2.1.2
tcb-span,pkg:generic/tcb-span
dlib,pkg:generic/dlib@19.24.6
poissonrecon,pkg:generic/poissonrecon
qt5-multimedia,pkg:generic/qt5-multimedia@5.15.16
task-thread-pool,pkg:generic/task-thread-pool@1.0.7
boost-range,pkg:generic/boost-range@1.87.0
rsm-bsa,pkg:generic/rsm-bsa
exprtk,pkg:generic/exprtk@0.0.3
fawdlstty-libfv,pkg:generic/fawdlstty-libfv@0.0.8
pegtl,pkg:generic/pegtl
nmslib,pkg:generic/nmslib@2.1.1
sdformat13,pkg:generic/sdformat13@13.6.0
anax,pkg:generic/anax@2.1.0
boost-endian,pkg:generic/boost-endian@1.87.0
drekar-launch-process-cpp,pkg:generic/drekar-launch-process-cpp
libenvpp,pkg:generic/libenvpp@1.5.1
gz-plugin2,pkg:generic/gz-plugin2@2.0.1
ctre,pkg:generic/ctre@3.9.0
hffix,pkg:generic/hffix@1.4.1
yas,pkg:generic/yas@7.1.0
